PELICULAS;HORARIOS;SALAS DISPONIBLES;DIAS DE FUNCION
Beekeeper;18:00-19:00;Sala A,Sala B;Lunes,Miercoles
Interstellar;13:00-20:00;Sala A,Sala B;Martes,Sabado
Punto de quiebre;15:00-18:00;Sala A,Sala B;Viernes, Jueves
Club de la pelea;14:00-19:00;Sala A,Sala B;Sabado,Miercoles
Wonka;19:00-21:00;Sala A,Sala B;Lunes,Viernes
Sociedad de las nieves;17:00-19:00;Sala A,Sala B;Jueves, Sabado
Titanic;14:00-22:00;Sala A,Sala B;Sabado,Lunes
Contratiempo;15:00-20:00;Sala A,Sala B;Miercoles,Sabado
Jack in the box;18:00-20:00;Sala A,Sala B;Viernes,Lunes
Boyka;19:00-20:00;Sala A,Sala B;Martes,Viernes
